id,sensor_id,timestamp,b_x,b_y,b_z,lat,lon,alt,theta_x,theta_y,theta_z
111503940,S20251107_154804_OBS1_1,"2025-11-09 09:50:41.160000",23358.25,-10277.63,37506.68,0.0,0.0,0.0,0.13,2.19,0.0
111503520,S20251107_154804_OBS1_1,"2025-11-09 09:50:41.959000",23371.6,-10277.63,37520.02,0.0,0.0,0.0,0.13,2.19,0.0
111503700,S20251107_171944_OBS2_1,"2025-11-09 09:50:42.451000",31393.49,10824.88,32901.77,0.0,0.0,0.0,0.0,-0.81,1.56
111504000,S20251107_154804_OBS1_1,"2025-11-09 09:50:43.163000",23358.25,-10290.98,37533.37,0.0,0.0,0.0,0.13,2.19,0.0
111503580,S20251107_154804_OBS1_1,"2025-11-09 09:50:43.962000",23398.29,-10290.98,37506.68,0.0,0.0,0.0,0.13,2.19,0.0
111503100,S20251107_171944_OBS2_3,"2025-11-09 09:50:44.196000",27802.99,5472.5,34717.04,0.0,0.0,0.0,0.0,-0.81,1.56
111504060,S20251107_154804_OBS1_1,"2025-11-09 09:50:45.162000",23331.55,-10277.63,37533.37,0.0,0.0,0.0,0.13,2.19,0.0
111503640,S20251107_154804_OBS1_1,"2025-11-09 09:50:45.961000",23398.29,-10317.67,37506.68,0.0,0.0,0.0,0.13,2.19,0.0
111503760,S20251107_171944_OBS2_1,"2025-11-09 09:50:46.272000",31393.49,10784.84,32835.03,0.0,0.0,0.0,0.0,-0.81,1.56
111504120,S20251107_154804_OBS1_1,"2025-11-09 09:50:47.161000",23398.29,-10331.02,37493.33,0.0,0.0,0.0,0.13,2.19,0.0
111504420,S20251107_171944_OBS2_3,"2025-11-09 09:50:48.406000",27762.95,5432.46,34663.64,0.0,0.0,0.0,0.0,-0.81,1.56
111504180,S20251107_154804_OBS1_1,"2025-11-09 09:50:49.164000",23371.6,-10317.67,37493.33,0.0,0.0,0.0,0.13,2.19,0.0
111503820,S20251107_171944_OBS2_1,"2025-11-09 09:50:50.093000",31393.49,10798.19,32848.38,0.0,0.0,0.0,0.0,-0.81,1.56
111504660,S20251107_154804_OBS1_3,"2025-11-09 09:50:50.291000",28390.28,133.48,31219.97,0.0,0.0,0.0,0.13,2.19,0.0
111504240,S20251107_154804_OBS1_1,"2025-11-09 09:50:51.163000",23371.6,-10277.63,37533.37,0.0,0.0,0.0,0.13,2.19,0.0
111504480,S20251107_171944_OBS2_3,"2025-11-09 09:50:52.217000",27789.64,5459.16,34650.3,0.0,0.0,0.0,0.0,-0.81,1.56
111504720,S20251107_154804_OBS1_3,"2025-11-09 09:50:52.294000",28376.94,-26.7,31473.57,0.0,0.0,0.0,0.13,2.19,0.0
111504300,S20251107_154804_OBS1_1,"2025-11-09 09:50:53.163000",23358.25,-10250.93,37560.07,0.0,0.0,0.0,0.13,2.19,0.0
111504780,S20251107_154804_OBS1_3,"2025-11-09 09:50:54.292000",28376.94,160.17,31446.88,0.0,0.0,0.0,0.13,2.19,0.0
111504360,S20251107_154804_OBS1_1,"2025-11-09 09:50:55.165000",23411.64,-10264.28,37520.02,0.0,0.0,0.0,0.13,2.19,0.0
111504540,S20251107_171944_OBS2_3,"2025-11-09 09:50:56.055000",27776.29,5459.16,34703.69,0.0,0.0,0.0,0.0,-0.81,1.56
111504840,S20251107_154804_OBS1_3,"2025-11-09 09:50:56.307000",28350.24,146.82,31473.57,0.0,0.0,0.0,0.13,2.19,0.0
111505200,S20251107_171944_OBS2_3,"2025-11-09 09:50:57.965000",27789.64,5485.85,34663.64,0.0,0.0,0.0,0.0,-0.81,1.56
111504900,S20251107_154804_OBS1_3,"2025-11-09 09:50:58.290000",28230.11,333.69,31353.45,0.0,0.0,0.0,0.13,2.19,0.0
111504600,S20251107_171944_OBS2_3,"2025-11-09 09:50:59.890000",27749.6,5485.85,34636.95,0.0,0.0,0.0,0.0,-0.81,1.56
111504960,S20251107_154804_OBS1_3,"2025-11-09 09:51:00.293000",28457.02,200.21,31326.75,0.0,0.0,0.0,0.13,2.19,0.0
111505620,S20251107_154804_OBS1_1,"2025-11-09 09:51:00.465000",23424.99,-10250.93,37466.63,0.0,0.0,0.0,0.13,2.19,0.0
111505260,S20251107_171944_OBS2_3,"2025-11-09 09:51:01.788000",27789.64,5499.2,34743.73,0.0,0.0,0.0,0.0,-0.81,1.56
111505020,S20251107_154804_OBS1_3,"2025-11-09 09:51:02.292000",28443.67,200.21,31326.75,0.0,0.0,0.0,0.13,2.19,0.0
111505680,S20251107_154804_OBS1_1,"2025-11-09 09:51:02.464000",23371.6,-10277.63,37520.02,0.0,0.0,0.0,0.13,2.19,0.0
111505380,S20251107_171944_OBS2_3,"2025-11-09 09:51:03.696000",27736.25,5459.16,34676.99,0.0,0.0,0.0,0.0,-0.81,1.56
111505080,S20251107_154804_OBS1_3,"2025-11-09 09:51:04.292000",28376.94,173.52,31340.1,0.0,0.0,0.0,0.13,2.19,0.0
111505740,S20251107_154804_OBS1_1,"2025-11-09 09:51:04.467000",23371.6,-10290.98,37506.68,0.0,0.0,0.0,0.13,2.19,0.0
111505320,S20251107_171944_OBS2_3,"2025-11-09 09:51:05.611000",27776.29,5512.55,34730.38,0.0,0.0,0.0,0.0,-0.81,1.56
111505140,S20251107_154804_OBS1_3,"2025-11-09 09:51:06.307000",28350.24,200.21,31366.79,0.0,0.0,0.0,0.13,2.19,0.0
111505800,S20251107_154804_OBS1_1,"2025-11-09 09:51:06.466000",23384.95,-10290.98,37493.33,0.0,0.0,0.0,0.13,2.19,0.0
111505440,S20251107_171944_OBS2_3,"2025-11-09 09:51:07.520000",27722.9,5459.16,34650.3,0.0,0.0,0.0,0.0,-0.81,1.56
111505860,S20251107_154804_OBS1_1,"2025-11-09 09:51:08.465000",23358.25,-10277.63,37506.68,0.0,0.0,0.0,0.13,2.19,0.0
